ISBN-10 TITLE   AUTHOR  library_ID      borrowed user   date due
1590780930      My Librarian Is a Camel: How Books Are Brought to Children around the World     Margriet Ruurs  100
0547243073      Rain School     James Rumford   100
0152054456      The Librarian of Basra  Jeanette Winter 100
0399237321      "Thank You, Mr. Falker" Patricia Polacco        100
0399247491      The Incredible Book Eating Boy  Oliver Jeffers  100
0375836012      The Boy Who Loved Words Roni Schotter   100
1582463530      Waiting for the Biblioburro     Monica Brown    100
1416994378      Nasreen’s Secret School Jeanette Winter 100
1416908129      That Book Woman Heather Henson  100
159845420X      Poison Dart Frogs Up Close      Carmen Bredeson 100
                        100
1433957442      Deadly Poison Dart Frogs        Lincoln James   100
0756682320      Everything You Need to Know about Frogs and Other Slippery Creatures    DK Publishing   100
1607270692      Bullfrog at Magnolia Circle     "Deborah Dennard, illustrated by Kristin Kest"  100
        All the Small Poems and Fourteen More   Valerie Worth   200
1402754213      Classic Starts Peter Pan        "J. M. Barrie, adapted by Tania Zamorski"       200
1553379543      One Well: The Story of Water on Earth   Rochelle Strauss        200
0375837280      Magic Tree House #37: Dragon of the Red Dawn    Mary Pope Osborne       200
0375830340      Magic Tree House #33: Carnival at Candlelight   Mary Pope Osborne       200
0375830324      Magic Tree House #34: Season of the Sandstorms  Mary Pope Osborne       200
0375867953      Magic Tree House #45: A Crazy Day with Cobras   Mary Pope Osborne       200
1600146740      Exploring Countries: Japan      Colleen Sexton  200
1600146732      Exploring Countries: Italy      Rachel Grack    200
1600145558      Exploring Countries: India      Jim Bartell     200
1600145922      Exploring Countries: Iraq       Lisa Owings     200
        Lon Po Po       Ed Young        200
1587170000      Aesop’s Fables  Jerry Pinkney   200
1426306989      Face to Face with Wolves        Jim and Judy Brandenburg        200
736848177       The Iroquois: The Six Nations Confederacy       Mary Englar     200
141301694       Eagle Song      Joseph Bruchac  200
153052120       The Keeping Quilt       Patricia Polacco        200
        A River of Words: The Story of William Carlos Williams  Jen Bryant      300
006029289X      Love That Dog   Sharon Creech   300
1429672137      "The Scoop on Clothes, Homes, and Daily Life in Colonial America"       Elizabeth Raum  300
059045160X      If You Lived in Colonial Times  "Ann McGovern, illustrated by June Otani"       300
143292317X      Simple Machines: Forces in Action (Do It Yourself)      Buffy Silverman 300
1596470836      Take a Quick Bow!       Pamela Marx     300
0375840966      The Hope Chest  Karen Schwabach 300
160413089X      Animal Behavior: Animal Defenses        Christina Wilsdon       300
1581960433      Venom   Marylin Singer  300
1429679964      Can You Survive in the Wilderness? An Interactive Survival Adventure    Matt Doeden     300
0792258673      Divided Loyalties: The Barton Family during the American Revolution     Gare Thompson and Barbara Kiwak 300
043912042X      Esperanza Rising        Pam Munoz Ryan  300
0778799247      Rainforest Research Journal     Paul Mason      300
0152008977      The Most Beautiful Roof in the World    Kathryn Lasky   300
0439678757      Promises To Keep: How Jackie Robinson Changed America   Sharon Robinson 300
054527849X      Eight Days: A Story of Haiti    Edwidge Danticat        400
1429617608      "Investigating the Scientific Method with Max Axiom, Super Scientist"   Donald B. Lemke 400
0375845615      The Boy Who Invented TV: The Story of Philo Farnsworth  Kathleen Krull  400
1554510872      The Inuit Thought of It: Amazing Arctic Innovations (We Thought of It)  Alootook Ipellie and David MacDonald    400
0786838655      The Lightning Thief     Rick Riordan    400
0440406943      D’Aulaires Book of Greek Myths  Ingri and Edgar Parin D’Aulaire 400
043940200X      "Bud, Not Buddy"        Christopher Paul Curtis 400
0064400859      Dragonwings     Laurence Yep    400
0141312351      Frightful's Mountain    Jean Craighead George   400
0763643327      Good Masters! Sweet Ladies! Voices from a Medieval Village      Laura Amy Schlitz       400
0618851321      Blue Lipstick: Concrete Poems   John Grandits   400
0618503617      "Technically, It’s Not My Fault: Concrete Poems"        John Grandits   400
0761156070      World Without Fish      Mark Kurlansky  400
0375861254      Flush   Carl Hiassen    400
0547577311      A Long Walk to Water    Linda Sue Park  400
0140349812      Lyddie  Katherine Patterson     400
        Narrative of the Life of Frederick Douglass     Frederick Douglass      500
0375824057      The People Could Fly: The Picture Book  Virginia Hamilton       500
1880000423      Frederick Douglass: The Last Day of Slavery     William Miller  500
                        500
1439102082      The Big Thirst: The Secret Life and Turbulent Future of Water   Charles Fishman 500
1580493998      Pygmalion       George Bernard Shaw     500
1590787846      Nadia’s Hands   "Karen English, illustrated by Jonathan Weiner" 500
0061962791      Inside Out & Back Again Thanhha Lai     500
0446314862      To Kill a Mockingbird   Harper Lee      500
        "To Kill a Mockingbird
(film)" Directed by Robert Mulligan (1962)      500
1400064163      "Unbroken: A World War II Story of Survival, Resilience and Redemption***"      Laura Hillenbrand       500
0803735006      "The Omnivore’s Dilemma: The Secrets Behind What You Eat, Young Readers Edition"        Michael Pollan  500
0743477545      A Midsummer Night’s Dream       William Shakespeare (Folger Shakespeare Library)        500
0743288505      "Teaching Romeo & Juliet, Macbeth and Midsummer Night: Shakespeare Set Free"    Peggy O’Brien   500
0345511018      A Mighty Long Way:  My Journey to Justice at Little Rock Central High School    Carlotta Walls LaNier and     Lisa Frazier Page 500
0756545129      "Little Rock Girl 1957:
How a Photograph Changed the Fight for Integration"     Shelley Tougas  500
